Year,Seaport,Country,Region,Region (with China),"Reclaimed area (km^2, raw)",TEU (millions)
2016,Barcelona,Spain,Mediterranean,Mediterranean,3.55,2.23
2016,Busan,South Korea,Asia,Asia,16.62,19.85
2016,Colombo,Sri Lanka,Asia,Asia,2.13,5.73
2016,Dalian,China,Asia,China,18.44,9.61
2016,Dubai,UAE,Middle East,Middle East,4.98,15.73
2016,Felixstowe,UK,Northern Europe,Northern Europe,2.05,4
2016,Genoa,Italy,Mediterranean,Mediterranean,1.56,2.29
2016,Guangzhou,China,Asia,China,29.38,18.85
2016,Hong Kong,China,Asia,China,4.42,19.81
2016,Incheon,South Korea,Asia,Asia,12.91,2.6
2016,Jawaharlal Nehru,India,Asia,Asia,2.49,4.51
2016,Jeddah,Saudi Arabia,Middle East,Middle East,4.8,3.95
2016,Karachi,Pakistan,Asia,Asia,5.12,2.1
2016,Kobe,Japan,Asia,Asia,7.63,2.8
2016,Laem Chabang,Thailand,Asia,Asia,8.98,7.22
2016,Le Havre,France,Northern Europe,Northern Europe,2.57,2.51
2016,Lianyungang,China,Asia,China,45.01,4.7
2016,Los Angeles,USA,North America,North America,2.25,8.86
2016,Manila,Philippines,Asia,Asia,2.08,4.52
2016,Mundra,India,Asia,Asia,15.58,4.8
2016,Nagoya,Japan,Asia,Asia,6.31,2.65
2016,Ningbo-Zhoushan,China,Asia,China,27.13,21.6
2016,Piraeus,Greece,Mediterranean,Mediterranean,1.11,3.73
2016,Qingdao,China,Asia,China,29.36,18.01
2016,Rizhao,China,Asia,China,14.59,3.01
2016,Rotterdam,Netherlands,Northern Europe,Northern Europe,21.19,12.38
2016,Salalah,Oman,Middle East,Middle East,3.03,3.32
2016,Shanghai,China,Asia,China,50.01,37.13
2016,Shenzhen,China,Asia,China,33.09,23.97
2016,Singapore,Singapore,Asia,Asia,54.19,30.9
2016,Sydney,Australia,Oceania,Oceania,1.41,2.36
2016,Tanger Med,Morocco,Mediterranean,Mediterranean,1.97,2.96
2016,Tangshan,China,Asia,China,44.75,1.93
2016,Tanjung Pelepas,Malaysia,Asia,Asia,3.99,8.28
2016,Tanjung Perak,Indonesia,Asia,Asia,3.28,5.51
2016,Tanjung Priok,Indonesia,Asia,Asia,1.8,5.51
2016,Tianjin,China,Asia,China,155.6,14.4
2016,Tokyo,Japan,Asia,Asia,11.84,4.25
2016,Valencia,Spain,Mediterranean,Mediterranean,4.67,4.72
2016,Xiamen,China,Asia,China,4.02,9.61
2016,Yantai,China,Asia,China,3.25,2.6
2016,Yingkou,China,Asia,China,49.57,6.08
2017,Algeciras,Spain,Mediterranean,Mediterranean,2.87,4.38
2017,Barcelona,Spain,Mediterranean,Mediterranean,3.57,2.96
2017,Busan,South Korea,Asia,Asia,17.93,20.49
2017,Colombo,Sri Lanka,Asia,Asia,2.97,6.21
2017,Dalian,China,Asia,China,18.51,9.7
2017,Dubai,UAE,Middle East,Middle East,5.06,15.37
2017,Felixstowe,UK,Northern Europe,Northern Europe,1.91,3.84
2017,Genoa,Italy,Mediterranean,Mediterranean,1.58,2.62
2017,Guangzhou,China,Asia,China,26.74,20.37
2017,Hong Kong,China,Asia,China,4.47,20.76
2017,Incheon,South Korea,Asia,Asia,13.91,2.7
2017,Jawaharlal Nehru,India,Asia,Asia,3,4.83
2017,Jeddah,Saudi Arabia,Middle East,Middle East,4.83,4.15
2017,Karachi,Pakistan,Asia,Asia,5.31,2.22
2017,Kobe,Japan,Asia,Asia,8.1,2.92
2017,Laem Chabang,Thailand,Asia,Asia,8.7,7.78
2017,Le Havre,France,Northern Europe,Northern Europe,2.69,2.87
2017,Lianyungang,China,Asia,China,46.83,4.71
2017,Los Angeles,USA,North America,North America,2.08,9.43
2017,Manila,Philippines,Asia,Asia,2.25,4.78
2017,Mundra,India,Asia,Asia,15.58,4.24
2017,Nagoya,Japan,Asia,Asia,6.55,2.78
2017,Ningbo-Zhoushan,China,Asia,China,27.19,24.61
2017,Piraeus,Greece,Mediterranean,Mediterranean,1.11,4.15
2017,Qingdao,China,Asia,China,29.86,18.3
2017,Rizhao,China,Asia,China,14.82,3.24
2017,Rotterdam,Netherlands,Northern Europe,Northern Europe,20.99,13.73
2017,Salalah,Oman,Middle East,Middle East,3.03,3.94
