Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)","Reclaimed area (km^2, smoothed)"
1992,Lianyungang,China,Asia,6.79,6.39
1992,Lome,Togo,Africa,0.29,0.29
1992,Los Angeles,USA,North America,0.83,0.85
1992,Manila,Philippines,Asia,1.49,1.49
1992,Manzanillo,Mexico,North America,0.98,0.98
1992,Jawaharlal Nehru,India,Asia,1.26,1.39
1992,Mundra,India,Asia,3.31,3.31
1992,Nagoya,Japan,Asia,3.56,3.56
1992,Ningbo-Zhoushan,China,Asia,12.41,12.41
1992,Osaka,Japan,Asia,1.34,1.38
1992,Piraeus,Greece,Mediterranean,0.69,0.69
1992,Qingdao,China,Asia,4.85,4.77
1992,Qinzhou,China,Asia,0.26,1.3
1992,Quanzhou,China,Asia,0.39,0.39
1992,Rizhao,China,Asia,2.52,2.45
1992,Rotterdam,Netherlands,Northern Europe,10.21,10.21
1992,Said,Egypt,Middle East,0,0
1992,Salalah,Oman,Middle East,1,1
1992,Shanghai,China,Asia,19.81,19.35
1992,Shenzhen,China,Asia,7.11,7.11
1992,Singapore,Singapore,Asia,16.93,16.42
1992,Sydney,Australia,Oceania,0.39,0.36
1992,Taichung,Taiwan,Asia,17.43,17.04
1992,Taicang,China,Asia,7.05,7.05
1992,Tianjin,China,Asia,15.45,15.45
1992,Tangshan,China,Asia,32.56,32.56
1992,Tanger Med,Morocco,Mediterranean,0.36,0.36
1992,Tokyo,Japan,Asia,6.19,6.36
1992,Tanjung Priok,Indonesia,Asia,0.59,0.55
1992,Tanjung Pelepas,Malaysia,Asia,1.81,1.81
1992,Tanjung Perak,Indonesia,Asia,0,0
1992,Valencia,Spain,Mediterranean,1.67,1.56
1992,Xiamen,China,Asia,0.32,0.32
1992,Yingkou,China,Asia,9.53,9.16
1992,Yantai,China,Asia,0.26,0.28
1992,Yokohama,Japan,Asia,1.13,1.14
1992,Zhuhai,China,Asia,1.48,1.48
1993,Abu Dhabi,UAE,Middle East,14.61,14.61
1993,Alexandria,Egypt,Middle East,0.66,0.66
1993,Algeciras,Spain,Mediterranean,0.87,0.87
1993,Barcelona,Spain,Mediterranean,0,0
1993,Busan,South Korea,Asia,5.77,5.77
1993,Cartagena,Colombia,Central & South America,0.91,0.91
1993,Colombo,Sri Lanka,Asia,0.46,0.36
1993,Dalian,China,Asia,0.96,0.96
1993,Dubai,UAE,Middle East,1.36,1.36
1993,Durban,South Africa,Africa,0.43,0.44
1993,Felixstowe,UK,Northern Europe,3.69,3.69
1993,Genoa,Italy,Mediterranean,0,0
1993,Guangzhou,China,Asia,9.68,9.68
1993,Yeosu Gwangyang,South Korea,Asia,0.38,0.4
1993,Hai Phong,Vietnam,Asia,3.98,3.82
1993,Haikou,China,Asia,2.34,2.41
1993,Hong Kong,China,Asia,1.31,1.31
1993,Incheon,South Korea,Asia,1.05,1.05
1993,Jeddah,Saudi Arabia,Middle East,2.65,2.65
1993,Jiaxing,China,Asia,4.1,4.14
1993,Jinzhou,China,Asia,0,0.33
1993,Kaohsiung,Taiwan,Asia,10.35,10.35
1993,Karachi,Pakistan,Asia,4.37,4.37
1993,Port Klang,Malaysia,Asia,0,0.43
1993,Dammam,Saudi Arabia,Middle East,1.03,0.96
1993,King Abdullah,Saudi Arabia,Middle East,0,0
1993,Kobe,Japan,Asia,2.29,2.29
1993,Laem Chabang,Thailand,Asia,6.34,6.34
1993,Le Havre,France,Northern Europe,1.54,1.32
1993,Lianyungang,China,Asia,6.39,6.42
1993,Lome,Togo,Africa,0.33,0.33
1993,Los Angeles,USA,North America,0.94,0.94
1993,Manila,Philippines,Asia,1.23,1.49
1993,Manzanillo,Mexico,North America,1.66,1.66
1993,Jawaharlal Nehru,India,Asia,1.84,1.41
1993,Mundra,India,Asia,3.33,3.33
1993,Nagoya,Japan,Asia,3.82,3.82
1993,Ningbo-Zhoushan,China,Asia,12.48,12.48
1993,Osaka,Japan,Asia,1.38,1.37
1993,Piraeus,Greece,Mediterranean,0.71,0.71
1993,Qingdao,China,Asia,4.47,4.85
1993,Qinzhou,China,Asia,1.3,1.3
1993,Quanzhou,China,Asia,0.45,0.45
1993,Rizhao,China,Asia,2.41,2.52
1993,Rotterdam,Netherlands,Northern Europe,10.89,10.89
1993,Said,Egypt,Middle East,0,0
1993,Salalah,Oman,Middle East,1,1
1993,Shanghai,China,Asia,19.35,19.81
1993,Shenzhen,China,Asia,7.83,7.75
1993,Singapore,Singapore,Asia,16.42,16.93
1993,Sydney,Australia,Oceania,0.33,0.39
1993,Taichung,Taiwan,Asia,17.44,17.43
1993,Taicang,China,Asia,7.49,7.44
1993,Tianjin,China,Asia,18.88,18.65
1993,Tangshan,China,Asia,32.7,32.56
1993,Tanger Med,Morocco,Mediterranean,0.39,0.34
1993,Tokyo,Japan,Asia,7.09,7.09
1993,Tanjung Priok,Indonesia,Asia,0.51,0.57
1993,Tanjung Pelepas,Malaysia,Asia,1.84,1.84
1993,Tanjung Perak,Indonesia,Asia,0,0
1993,Valencia,Spain,Mediterranean,1.87,1.56
1993,Xiamen,China,Asia,0.41,0.41
1993,Yingkou,China,Asia,9.16,9.45
1993,Yantai,China,Asia,0.35,0.35
1993,Yokohama,Japan,Asia,1.14,1.15
1993,Zhuhai,China,Asia,1.51,1.51
1994,Abu Dhabi,UAE,Middle East,14.62,14.62
1994,Alexandria,Egypt,Middle East,0.77,0.77
1994,Algeciras,Spain,Mediterranean,0.89,0.89
1994,Barcelona,Spain,Mediterranean,0,0
1994,Busan,South Korea,Asia,6.61,6.61
1994,Cartagena,Colombia,Central & South America,0.94,0.94
1994,Colombo,Sri Lanka,Asia,0.08,0.42
1994,Dalian,China,Asia,1.59,1.5
1994,Dubai,UAE,Middle East,1.39,1.39
1994,Durban,South Africa,Africa,0.48,0.48
1994,Felixstowe,UK,Northern Europe,3.69,3.69
1994,Genoa,Italy,Mediterranean,0,0
1994,Guangzhou,China,Asia,9.71,9.71
1994,Yeosu Gwangyang,South Korea,Asia,0.4,0.42
1994,Hai Phong,Vietnam,Asia,3.38,3.91
1994,Haikou,China,Asia,2.41,2.6
1994,Hong Kong,China,Asia,1.34,1.34
1994,Incheon,South Korea,Asia,2.42,2.24
1994,Jeddah,Saudi Arabia,Middle East,2.46,2.98
1994,Jiaxing,China,Asia,4.39,4.39
1994,Jinzhou,China,Asia,0.37,0.37
1994,Kaohsiung,Taiwan,Asia,10.38,10.38
1994,Karachi,Pakistan,Asia,5,4.37
1994,Port Klang,Malaysia,Asia,0.85,0.43
1994,Dammam,Saudi Arabia,Middle East,1.01,0.96
1994,King Abdullah,Saudi Arabia,Middle East,0,0
1994,Kobe,Japan,Asia,2.39,2.39
1994,Laem Chabang,Thailand,Asia,6.38,6.38
1994,Le Havre,France,Northern Europe,1.63,1.32
1994,Lianyungang,China,Asia,6.42,6.45
1994,Lome,Togo,Africa,0.36,0.36
1994,Los Angeles,USA,North America,0.98,0.98
1994,Manila,Philippines,Asia,1.41,1.41
1994,Manzanillo,Mexico,North America,1.84,1.66
1994,Jawaharlal Nehru,India,Asia,1.41,1.41
1994,Mundra,India,Asia,3.39,3.39
1994,Nagoya,Japan,Asia,4.5,4.29
1994,Ningbo-Zhoushan,China,Asia,12.58,12.58
1994,Osaka,Japan,Asia,1.37,1.38
1994,Piraeus,Greece,Mediterranean,0.73,0.73
1994,Qingdao,China,Asia,6.13,5.64
1994,Qinzhou,China,Asia,0,1.3
1994,Quanzhou,China,Asia,0.78,0.71
1994,Rizhao,China,Asia,2.55,2.55
1994,Rotterdam,Netherlands,Northern Europe,12.23,12.23
1994,Said,Egypt,Middle East,0,0
1994,Salalah,Oman,Middle East,1.93,1.11
1994,Shanghai,China,Asia,20.19,20.19
1994,Shenzhen,China,Asia,7.75,7.83
1994,Singapore,Singapore,Asia,17,17
1994,Sydney,Australia,Oceania,0.89,0.85
1994,Taichung,Taiwan,Asia,17.04,17.44
1994,Taicang,China,Asia,6.78,7.49
1994,Tianjin,China,Asia,18.65,18.88
1994,Tangshan,China,Asia,32.92,32.7
1994,Tanger Med,Morocco,Mediterranean,0.43,0.17
1994,Tokyo,Japan,Asia,7.36,7.36
1994,Tanjung Priok,Indonesia,Asia,0.55,0.55
1994,Tanjung Pelepas,Malaysia,Asia,1.88,1.88
1994,Tanjung Perak,Indonesia,Asia,2.02,2.02
1994,Valencia,Spain,Mediterranean,1.56,1.45
1994,Xiamen,China,Asia,0.46,0.46
1994,Yingkou,China,Asia,9.11,9.45
1994,Yantai,China,Asia,0.53,0.45
1994,Yokohama,Japan,Asia,1.18,1.15
1994,Zhuhai,China,Asia,1.56,1.56
1995,Abu Dhabi,UAE,Middle East,14.63,14.63
