Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)"
1993,Quanzhou,China,Asia,NaN
1993,Rizhao,China,Asia,0.99
1993,Rotterdam,Netherlands,Northern Europe,NaN
1993,Said,Egypt,Middle East,NaN
1993,Salalah,Oman,Middle East,1.46
1993,Shanghai,China,Asia,14.12
1993,Shenzhen,China,Asia,2.9
1993,Singapore,Singapore,Asia,NaN
1993,Sydney,Australia,Oceania,0.85
1993,Taichung,Taiwan,Asia,16.79
1993,Taicang,China,Asia,6.62
1993,Tianjin,China,Asia,11.49
1993,Tangshan,China,Asia,23.78
1993,Tanger Med,Morocco,Mediterranean,NaN
1993,Tokyo,Japan,Asia,7.02
1993,Tanjung Priok,Indonesia,Asia,NaN
1993,Tanjung Pelepas,Malaysia,Asia,NaN
1993,Tanjung Perak,Indonesia,Asia,NaN
1993,Valencia,Spain,Mediterranean,NaN
1993,Xiamen,China,Asia,NaN
1993,Yingkou,China,Asia,1.56
1993,Yantai,China,Asia,0.36
1993,Yokohama,Japan,Asia,1.32
1993,Zhuhai,China,Asia,0.35
1994,Abu Dhabi,UAE,Middle East,14.96
1994,Alexandria,Egypt,Middle East,NaN
1994,Algeciras,Spain,Mediterranean,NaN
1994,Barcelona,Spain,Mediterranean,NaN
1994,Busan,South Korea,Asia,2.49
1994,Cartagena,Colombia,Central & South America,NaN
1994,Colombo,Sri Lanka,Asia,0.05
1994,Dalian,China,Asia,1.36
1994,Dubai,UAE,Middle East,0.81
1994,Felixstowe,UK,Northern Europe,0.2
1994,Genoa,Italy,Mediterranean,NaN
1994,Guangzhou,China,Asia,3.08
1994,Yeosu Gwangyang,South Korea,Asia,0.4
1994,Hai Phong,Vietnam,Asia,3.09
1994,Haikou,China,Asia,1.23
1994,Hong Kong,China,Asia,0.82
1994,Incheon,South Korea,Asia,3.62
1994,Jeddah,Saudi Arabia,Middle East,NaN
1994,Jiaxing,China,Asia,4.42
1994,Jinzhou,China,Asia,NaN
1994,Kaohsiung,Taiwan,Asia,9
1994,Karachi,Pakistan,Asia,2.69
1994,Port Klang,Malaysia,Asia,0.73
1994,Dammam,Saudi Arabia,Middle East,0.3
1994,King Abdullah,Saudi Arabia,Middle East,NaN
1994,Kobe,Japan,Asia,2.37
1994,Laem Chabang,Thailand,Asia,5.11
1994,Le Havre,France,Northern Europe,0.72
1994,Lianyungang,China,Asia,8.29
1994,Lome,Togo,Africa,NaN
1994,Los Angeles,USA,North America,0.95
1994,Manila,Philippines,Asia,0.4
1994,Manzanillo,Mexico,North America,2.11
1994,Jawaharlal Nehru,India,Asia,0.56
1994,Mundra,India,Asia,3.93
1994,Nagoya,Japan,Asia,2.23
1994,Ningbo-Zhoushan,China,Asia,11.44
1994,Osaka,Japan,Asia,1.47
1994,Piraeus,Greece,Mediterranean,NaN
1994,Qingdao,China,Asia,4.37
1994,Qinzhou,China,Asia,NaN
1994,Quanzhou,China,Asia,0.41
1994,Rizhao,China,Asia,1.14
1994,Rotterdam,Netherlands,Northern Europe,NaN
1994,Said,Egypt,Middle East,NaN
1994,Salalah,Oman,Middle East,1.24
1994,Shanghai,China,Asia,14.84
1994,Shenzhen,China,Asia,3.06
1994,Singapore,Singapore,Asia,12.14
1994,Sydney,Australia,Oceania,0.69
1994,Taichung,Taiwan,Asia,18.39
1994,Taicang,China,Asia,5.88
1994,Tianjin,China,Asia,18.87
1994,Tangshan,China,Asia,16.65
1994,Tanger Med,Morocco,Mediterranean,NaN
1994,Tokyo,Japan,Asia,7.2
1994,Tanjung Priok,Indonesia,Asia,0.47
1994,Tanjung Pelepas,Malaysia,Asia,1.2
1994,Tanjung Perak,Indonesia,Asia,1.14
1994,Valencia,Spain,Mediterranean,NaN
1994,Xiamen,China,Asia,0.62
1994,Yingkou,China,Asia,3.58
1994,Yantai,China,Asia,0.54
1994,Yokohama,Japan,Asia,1.48
1994,Zhuhai,China,Asia,0.52
1995,Abu Dhabi,UAE,Middle East,11.39
1995,Alexandria,Egypt,Middle East,NaN
1995,Algeciras,Spain,Mediterranean,0.98
1995,Barcelona,Spain,Mediterranean,NaN
1995,Busan,South Korea,Asia,3.21
1995,Cartagena,Colombia,Central & South America,NaN
1995,Colombo,Sri Lanka,Asia,NaN
1995,Dalian,China,Asia,1.4
1995,Dubai,UAE,Middle East,0.51
1995,Felixstowe,UK,Northern Europe,NaN
1995,Genoa,Italy,Mediterranean,NaN
1995,Guangzhou,China,Asia,3.56
1995,Yeosu Gwangyang,South Korea,Asia,0.42
1995,Hai Phong,Vietnam,Asia,2.71
1995,Haikou,China,Asia,1.3
1995,Hong Kong,China,Asia,0.72
1995,Incheon,South Korea,Asia,2.38
1995,Jeddah,Saudi Arabia,Middle East,7.12
